Brand, Type, Color, Name, TD, Tags, Secondary_Type, Secondary_Color, Secondary_Strength, Owned, Uuid
Siddament,PETG,#37ffff,Aquatic Blue,2.6,,None,#0000ff,0,false,{ac42755a-1108-49dd-b44e-bd94ca62bf1c}
Siddament,PETG,#1776d3,Azure Blue,1.6,,None,#0000ff,0,false,{17f1ead8-dcb0-4ebd-981d-821840c57093}
Siddament,PETG,#000000,Black,0.1,,None,#0000ff,0,false,{ed2a0f9d-e74a-44a8-8c46-130febef8891}
Siddament,PETG,#d041a5,Bright Purple,2.1,,None,#0000ff,0,false,{b09c633a-f654-4b59-9e82-a1be1a529885}
Siddament,PETG,#45444d,Burnt Grey,0.4,,None,#0000ff,0,false,{fdfe98dc-f946-4a47-8ca0-2d74521d6d23}
Siddament,PETG,#c4321c,Fluro Red,4.8,,None,#0000ff,0,false,{c4294fa5-8a87-488a-9e8c-2bd298169b7e}
Siddament,PETG,#476260,Grey V2,0.2,,None,#0000ff,0,false,{bfe29d3a-9c35-4324-99d3-57bda96f1ba5}
Siddament,PETG,#ff4070,Hot Pink,6,,None,#0000ff,0,false,{d1593cb9-b63b-4e14-97b0-30d3c53bc79e}
Siddament,PETG,#906c59,Light Brown,2.7,,None,#0000ff,0,false,{8525aa85-4ccc-4304-b859-35204efbd9e0}
Siddament,PETG,#a8ff45,Light Green,3.8,,None,#0000ff,0,false,{fa235858-8dae-42b4-ab08-88b1b617453e}
Siddament,PETG,#e2e2e2,Light Grey,3.7,,None,#0000ff,0,false,{6a014f77-58cf-4043-a0e7-10a4a2a74a81}
Siddament,PETG,#eea971,Light Orange,4.3,,None,#0000ff,0,false,{963446ab-78aa-43ec-a7f7-1440859cef5a}
Siddament,PETG,#df87f2,Light Purple,5.4,,None,#0000ff,0,false,{21ff7011-0da8-4550-a791-fd18ac568070}
Siddament,PETG,#ffaec7,Light Red,3.1,,None,#0000ff,0,false,{78322fe4-d9d4-4903-a4e5-55ac7a69b304}
Siddament,PETG,#1f4d53,Makeeya Blue,1.1,,None,#0000ff,0,false,{d67931e6-7658-419f-b4d6-514d964f3de1}
Siddament,PETG,#ff6950,Matte Orange,5,,None,#0000ff,0,false,{d7043d0e-5961-428a-848f-95bc4095b8d7}
Siddament,PETG,#7c5cb7,Matte Purple,1.4,,None,#0000ff,0,false,{20316e3f-c2e8-4350-973a-b3ef47ad4b83}
Siddament,PETG,#b2332d,Matte Red,4.9,,None,#0000ff,0,false,{79444e0d-bba4-4593-991f-2529914c256e}
Siddament,PETG,#ffffff,Matte White,4.4,,None,#0000ff,0,false,{0d5c8f4a-29b5-4ec0-88f7-71975888f628}
Siddament,PETG,#fff06d,Matte Yellow,9.1,,None,#0000ff,0,false,{fd7e3f51-c239-485f-9f68-3498d09a1920}
Siddament,PETG,#ffbbff,Pastel Pink,3.7,,None,#0000ff,0,false,{28e6f619-39d9-4d7a-a4c6-72b5baf41827}
Siddament,PETG,#ffffe7,Pastel Yellow,4.1,,None,#0000ff,0,false,{5df96ccb-460a-4f61-ac12-14f38032f33d}
Siddament,PETG,#bf9474,Peanut,1.8,,None,#0000ff,0,false,{d20f226b-3348-430b-80ed-c560e3f0a8d3}
Siddament,PETG,#ffffff,Pure White,4.8,,None,#0000ff,0,false,{3513762e-6f4a-48e9-ba3c-0ca5a0002494}
Siddament,PETG,#202540,Translucent Blue,11,,None,#0000ff,0,false,{d60f972a-1484-441c-8d79-d635313953c1}
Siddament,PETG,#6ba651,Translucent Green,100,,None,#0000ff,0,false,{fdb7f3ee-96a5-4cc7-8028-0318c3b3df73}
Siddament,PETG,#ff6f4f,Translucent Orange,98.6,,None,#0000ff,0,false,{544e682b-6257-4ca9-98e6-4cd20d0d65b0}
Siddament,PETG,#452b46,Translucent Purple,25.5,,None,#0000ff,0,false,{d28e5573-36f9-42a3-8762-c3f1201d8eb5}
Siddament,PETG,#5c5c5c,Translucent Storm Grey,100,,None,#0000ff,0,false,{0281eefa-7eff-48d4-ac6f-9f09ec5db813}
Siddament,PETG,#fff04f,Translucent Yellow,100,,None,#0000ff,0,false,{a52c4e62-d1eb-44ee-bace-54602ac24111}
Siddament,PETG,#fffff7,Transparent,82.8,,None,#0000ff,0,false,{914f57e5-5e85-4f9b-b736-9435c965ec09}
Siddament,PETG,#39ffff,Vivid Cyan,2.6,,None,#0000ff,0,false,{55af4398-644a-4b49-84a6-fa0c85077cd0}
eSun,PETG,#f8f481,Yellow,4.3,,None,#0000ff,0,false,{76ac2380-bb54-4e7c-8cbb-f136ec18a767}

